iter	Passed	Remaining
0	1	172
1	3	160
2	4	159
3	6	155
4	8	152
5	9	148
6	10	145
7	12	143
8	13	141
9	15	138
10	16	136
11	18	134
12	19	132
13	21	131
14	22	129
15	24	127
16	25	125
17	27	123
18	28	122
19	30	120
20	31	118
21	33	117
22	34	115
23	36	114
24	37	112
25	39	111
26	40	109
27	41	107
28	43	106
29	44	104
30	46	103
31	47	101
32	49	100
33	50	98
34	52	97
35	53	95
36	55	94
37	56	92
38	58	90
39	59	89
40	61	88
41	61	85
42	63	84
43	64	82
44	66	80
45	67	79
46	69	77
47	70	76
48	71	74
49	73	73
50	74	71
51	75	69
52	77	68
53	78	66
54	79	64
55	80	63
56	82	61
57	83	60
58	84	58
59	86	57
60	87	56
61	88	54
62	90	53
63	92	51
64	93	50
65	94	48
66	96	47
67	97	45
68	98	44
69	100	42
70	101	41
71	102	39
72	104	38
73	106	37
74	107	35
75	109	34
76	110	33
77	112	31
78	113	30
79	115	28
80	116	27
81	118	25
82	119	24
83	121	23
84	122	21
85	124	20
86	125	18
87	126	17
88	128	15
89	129	14
90	130	12
91	132	11
92	133	10
93	135	8
94	136	7
95	138	5
96	139	4
97	140	2
98	142	1
99	143	0
